name,avg_us,std_us,runs,#,N,C,H,W,h_var,w_var,seed,cuda,numel,cpu
batch_norm_nt,8520,123,1761,107/270,4,256,80,80,20.0,20.0,24,False,9984256,1
max_pool2d_tensor_iter,54581,1424,275,108/270,4,256,80,80,20.0,20.0,24,False,9984256,1
max_pool2d_tensor_pad,74430,1759,202,109/270,4,256,80,80,20.0,20.0,24,False,9984256,1
max_pool2d_nt,57726,1090,260,110/270,4,256,80,80,20.0,20.0,24,False,9984256,1
cross_entropy_tensor_iter,170381,972,89,111/270,4,256,80,80,20.0,20.0,24,False,9984256,1
cross_entropy_tensor_pad,294320,3838,51,112/270,4,256,80,80,20.0,20.0,24,False,9984256,1
cross_entropy_nt,170370,1155,89,113/270,4,256,80,80,20.0,20.0,24,False,9984256,1
dropout_tensor_iter,29135,1773,515,114/270,4,256,80,80,20.0,20.0,24,False,9984256,1
dropout_tensor_pad,60261,3390,249,115/270,4,256,80,80,20.0,20.0,24,False,9984256,1
dropout_nt,29063,1369,517,116/270,4,256,80,80,20.0,20.0,24,False,9984256,1
interpolate_tensor_iter,51676,2493,291,117/270,4,256,80,80,20.0,20.0,24,False,9984256,1
interpolate_tensor_pad,83538,1807,180,118/270,4,256,80,80,20.0,20.0,24,False,9984256,1
interpolate_nt,30581,1806,491,119/270,4,256,80,80,20.0,20.0,24,False,9984256,1
relu__tensor_pad,4936,63,3039,120/270,4,256,80,80,10.0,10.0,24,False,8031744,1
relu__tensor_iter,2824,43,5311,121/270,4,256,80,80,10.0,10.0,24,False,8031744,1
relu__nt,2892,45,5186,122/270,4,256,80,80,10.0,10.0,24,False,8031744,1
relu_tensor_iter,6587,426,2278,123/270,4,256,80,80,10.0,10.0,24,False,8031744,1
relu_tensor_pad,8849,492,1696,124/270,4,256,80,80,10.0,10.0,24,False,8031744,1
relu_nt,6662,69,2252,125/270,4,256,80,80,10.0,10.0,24,False,8031744,1
conv2d_iter_1x1,66330,1575,227,126/270,4,256,80,80,10.0,10.0,24,False,8031744,1
conv2d_pad_1x1,88092,1793,171,127/270,4,256,80,80,10.0,10.0,24,False,8031744,1
conv2d_nt_1x1,66463,1914,226,128/270,4,256,80,80,10.0,10.0,24,False,8031744,1
conv2d_iter_3x3,537934,2098,28,129/270,4,256,80,80,10.0,10.0,24,False,8031744,1
conv2d_pad_3x3,725825,17853,21,130/270,4,256,80,80,10.0,10.0,24,False,8031744,1
conv2d_nt_3x3,545228,17928,28,131/270,4,256,80,80,10.0,10.0,24,False,8031744,1
